"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"aceA" "2,68E+01" "1,45E+01" "1,22E+01" "1,92E+01" NA "1,13E+01" "2,26E+01" "2,15E+01" "3,15E+01" "2,20E+01" "2,17E+01" "2,48E+01" "2,17E+01" "2,43E+01" "2,44E+01" "2,22E+01" "2,00E+01" "2,47E+01" "1,13E+01" "2,84E+01" "3,29E+01" "3,78E+01" "2,70E+01" "2,99E+01" "2,90E+01" "2,41E+01" "1,42E+01" "7,39E+00" "3,47E+00" "2,21E+01" "2,32E+01"
"aceB" "6,70E+00" "8,74E+00" "6,47E+00" "1,33E+01" NA "8,09E+00" "1,10E+01" "9,13E+00" "1,30E+01" "1,72E+01" "5,88E+00" "6,83E+00" "5,59E+00" "6,19E+00" "6,35E+00" "6,68E+00" "7,09E+00" "8,19E+00" "4,73E+00" "8,02E+00" "9,28E+00" "1,07E+01" "7,70E+00" "1,02E+01" "9,71E+00" "7,63E+00" "4,87E+00" "3,47E+00" "3,11E+00" "6,04E+00" "6,28E+00"
"glcB" "3,79E-01" "1,18E+00" "7,81E-01" "3,87E-01" NA "7,60E-01" "8,71E-01" "2,20E-01" "3,23E-01" "4,19E-01" "3,35E-01" "4,99E-01" "3,10E-01" "3,02E-01" "2,54E-01" "4,86E-01" "3,02E-01" "3,93E-01" "4,44E-01" "5,56E-01" "5,58E-01" "6,07E-01" "4,30E-01" "5,42E-01" "4,92E-01" "3,13E-01" "3,31E-01" "1,59E-01" "7,29E-02" "4,21E-01" "4,20E-01"
"acs" "4,33E-01" "1,27E+00" "1,23E+00" "4,87E-01" NA "8,33E-01" "1,18E+00" "3,66E-01" "3,83E-01" "4,26E-01" "5,06E-01" "7,82E-01" "3,76E-01" "3,72E-01" "3,64E-01" "9,59E-01" "4,58E-01" "7,81E-01" "4,54E-01" "5,04E-01" "7,42E-01" "8,25E-01" "7,03E-01" "7,65E-01" "7,04E-01" "3,95E-01" "2,07E-01" "2,10E-02" NA "6,81E-01" "5,43E-01"
"prpC" "2,09E-02" "2,70E-01" "2,07E-01" "6,17E-02" NA "2,50E-01" "1,61E-01" "7,16E-02" "9,80E-02" "1,25E-01" "7,35E-02" "6,80E-02" "1,87E-02" "2,47E-02" "2,89E-02" "5,65E-02" "8,86E-02" "8,98E-02" NA "7,00E-02" "7,18E-02" "7,05E-02" "8,93E-02" "1,00E-01" "1,05E-01" "8,82E-03" "1,66E-02" "3,48E-02" "2,61E-02" "5,53E-02" "2,45E-02"
"ldhA" "2,82E-01" "4,30E-01" "4,68E-01" "3,49E-01" NA "4,30E-01" "4,46E-01" "1,68E-01" "4,14E-01" "2,85E-01" "2,69E-01" "2,18E-01" "2,60E-01" "2,53E-01" "2,65E-01" "2,36E-01" "3,29E-01" "2,12E-01" "2,00E-01" "1,46E-01" "2,23E-01" "2,90E-01" "2,87E-01" "3,70E-01" "2,77E-01" "1,15E-01" "1,21E-01" "7,00E-02" "1,14E-01" "2,37E-01" "2,42E-01"
"lldD" "4,45E-02" "2,22E-01" "2,09E-01" "1,83E-01" NA "1,33E-01" "1,26E-01" "1,59E-01" "2,01E-01" "1,33E-01" "8,98E-02" "1,15E-01" "4,84E-02" "5,21E-02" "4,92E-02" "1,27E-01" "2,44E-01" NA "6,49E-02" "5,15E-02" "6,57E-02" "5,37E-02" "6,83E-02" "9,72E-02" "7,47E-02" "3,21E-02" "2,52E-02" "4,43E-02" "8,68E-02" "4,44E-02" "5,57E-02"
"poxB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"pflA" "6,97E-03" "5,01E-02" "3,96E-02" "7,44E-02" NA "2,54E-02" "5,57E-02" "7,23E-02" "2,28E-02" "3,18E-02" "2,28E-02" "1,14E-02" "9,17E-03" "8,47E-03" "7,75E-03" "2,79E-02" "2,13E-02" "1,96E-02" "5,10E-02" "2,57E-02" "3,27E-02" "2,35E-02" "2,06E-02" "3,00E-02" "1,30E-02" "1,34E-02" "5,63E-03" "1,62E-02" "3,76E-02" "1,28E-02" "1,70E-02"
"pflB" "1,23E+00" "8,38E-01" "1,20E+00" "5,88E-01" NA "8,58E-01" "8,41E-01" "6,31E-01" "8,59E-01" "7,95E-01" "6,52E-01" "6,97E-01" "1,15E+00" "1,14E+00" "1,09E+00" "7,14E-01" "7,05E-01" "7,90E-01" "8,72E-01" "5,41E-01" "7,70E-01" "1,06E+00" "5,17E-01" "8,21E-01" "8,73E-01" "1,47E+00" "1,05E+00" "1,73E+00" "1,36E+00" "9,88E-01" "8,68E-01"
