"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Ribulose 5-phosphate" "8,32E-02" "5,30E-02" "5,20E-02" "2,97E-01" "6,02E-01" "2,21E-01" "9,32E-02" "6,72E-02" "1,06E-01" "7,01E-02" NA "9,41E-02" "8,35E-02" "1,08E-01" "1,09E-01" "7,10E-02" "4,13E-02" "4,11E-02" "6,46E+00" "3,66E-01" "3,65E-01" "5,40E-01" "1,92E-01" "2,99E-01" "5,80E-01" "1,47E-01" "6,75E-02" "7,10E-02" "1,68E-01" "2,55E-01" "9,83E-02"
"Ribose 5-phosphate" "8,02E-03" "1,37E-02" NA NA "1,80E-01" NA NA NA NA NA NA "1,28E-02" "6,83E-03" "6,85E-03" "1,15E-02" NA NA "1,89E-02" "6,92E-01" "1,02E-01" "1,16E-01" "1,81E-01" "7,15E-02" "1,07E-01" "1,77E-01" "3,78E-02" NA "1,85E-02" "7,90E-02" "6,92E-02" "1,27E-02"
"Dodecanedioate" "4,45E-03" "6,52E-03" "2,27E-03" NA NA "1,57E-03" NA "2,81E-03" NA NA NA "2,84E-03" "4,30E-03" "4,24E-03" "3,94E-03" "3,78E-03" "1,41E-03" "1,23E-03" "2,28E-03" "5,08E-03" "1,78E-03" "1,61E-03" NA NA NA NA NA NA NA NA "3,46E-03"
"2-Deoxyglucose 6-phosphate" "2,15E-02" "2,15E-02" "1,03E-02" NA NA NA "2,08E-02" "2,01E-02" "2,87E-02" "1,69E-02" NA "2,99E-02" "1,09E-02" "6,52E-03" "1,93E-02" NA NA "3,46E-02" "2,39E-02" "1,25E-02" "1,94E-02" "3,52E-02" "2,07E-02" "3,68E-02" "5,16E-02" NA NA NA NA "2,36E-02" "8,83E-02"
"Pyridoxal 5-phosphate" "1,57E-01" NA "1,77E-01" NA NA NA "2,29E-01" "2,65E-01" "2,20E-01" "4,90E-02" NA "2,10E-01" "1,45E-01" "1,50E-01" "1,74E-01" NA NA "1,87E-01" "5,51E-01" "3,19E-01" "4,08E-01" "4,16E-01" "2,03E-01" "3,48E-01" "4,37E-01" NA NA NA NA NA "2,44E-01"
"Glucosamine 6-phosphate" "6,28E-01" "3,10E-01" "2,12E-01" NA "1,50E+00" "2,97E-01" "3,74E-01" "3,77E-01" "3,77E-01" "4,13E-01" NA "7,38E-01" "5,11E-01" "4,64E-01" "5,90E-01" "4,11E-01" "1,81E-01" "7,77E-01" "6,58E-01" "4,13E-01" "6,08E-01" "4,14E-01" "5,69E-01" "6,94E-01" "8,23E-01" "4,23E-01" "4,80E-01" "6,17E-01" "9,01E-01" "4,02E-01" "6,04E-01"
"Glucose 1-phosphate" "2,25E-02" "1,20E-02" "7,35E-03" NA "3,01E-01" "7,61E-02" "4,56E-02" "3,24E-02" "1,55E-02" "7,18E-02" NA "4,00E-02" "2,04E-02" "1,69E-02" "2,90E-02" "1,64E-01" "8,94E-02" "6,41E-02" "1,57E-01" "7,23E-02" "6,67E-02" "7,98E-02" "3,65E-02" "8,76E-02" "7,00E-02" "7,69E-02" "8,58E-02" "1,31E-01" "1,24E-01" "1,50E-02" "3,17E-02"
"Fructose 6-phosphate" "2,28E-02" "3,25E-02" "1,27E-02" NA "8,84E-01" "2,13E-01" "5,02E-02" "3,39E-02" "6,55E-02" "1,93E-02" NA "5,45E-02" "5,06E-02" "6,66E-02" "4,82E-02" "6,80E-02" "1,53E-02" "3,53E-02" "6,35E-01" "1,49E-01" "2,11E-01" "1,05E-01" "7,45E-02" "7,62E-02" "8,46E-02" "6,05E-02" "1,56E-02" "2,00E-02" "3,21E-02" "5,45E-02" "4,50E-02"
"Glucose 6-phosphate" "1,38E-01" "7,40E-02" "4,90E-02" "8,80E-02" "2,95E+00" "8,53E-01" "1,93E-01" "1,35E-01" "2,40E-01" "1,13E-01" "1,82E-01" "1,64E-01" "1,79E-01" "2,48E-01" "1,60E-01" "3,15E-01" "1,12E-01" "2,45E-01" "8,08E-01" "2,89E-01" "2,95E-01" "2,16E-01" "1,12E-01" "2,46E-01" "2,29E-01" "2,81E-01" "1,27E-01" "1,74E-01" "6,64E-02" "1,29E-01" "1,85E-01"
"Sorbitol 6-phosphate" "5,05E-02" "2,66E-02" "1,86E-02" "1,92E-01" "2,57E+00" "3,54E-01" "8,12E-02" "5,05E-02" "1,07E-01" NA "7,24E-02" "8,22E-02" "6,50E-02" "8,95E-02" "7,43E-02" NA "4,65E-02" "5,24E-02" "7,47E-01" "4,35E-02" "2,70E-01" "9,00E-02" "4,93E-02" "1,52E-01" "1,73E-01" "1,86E-01" "5,40E-02" "9,34E-02" "1,02E-01" "5,36E-02" "7,17E-02"
