"KO01" "KO02" "KO03" "KO04" "KO05x" "KO05" "KO06" "KO07" "KO08" "KO09" "KO10" "KO11" "KO12" "KO13" "KO14" "KO15" "KO16" "KO17" "KO18" "KO19" "KO20" "KO21" "KO22" "KO23" "KO24" "GR01" "GR02" "GR03" "GR04" "RF02" "RF03"
"Divalent ion from Malonyl CoA" "1,42E-01" "1,13E-01" "6,26E-02" "2,20E-02" "4,82E-02" "3,89E-02" "2,67E-01" "3,17E-01" "2,82E-01" "1,27E-01" "3,14E-01" "1,51E-01" "5,20E-02" "7,36E-02" "1,52E-01" "4,33E-02" "4,82E-02" "1,51E-01" "2,45E-01" "8,49E-01" "5,92E-01" "3,63E-01" "1,92E-01" "2,37E-01" "2,63E-01" "4,98E-02" "3,74E-02" "4,95E-02" "8,64E-02" NA "1,82E-01"
"IDP" "8,02E-02" "4,82E-02" "5,85E-02" "3,10E-02" "7,32E-02" "4,85E-02" "9,34E-02" "9,32E-02" "9,64E-02" "5,84E-02" "7,75E-02" "9,65E-02" "4,06E-02" "4,85E-02" "1,02E-01" "4,22E-02" "3,92E-02" "8,30E-02" "3,45E-02" "1,35E-01" "1,09E-01" "9,27E-02" "5,91E-02" "8,39E-02" "7,42E-02" "4,87E-02" "3,48E-02" "5,67E-02" "1,26E-01" "9,73E-02" "1,17E-01"
"Divalent ion from succinyl CoA" NA NA NA "1,13E-02" "1,96E-02" "5,92E-03" NA NA NA "7,74E-03" NA NA NA NA NA "8,22E-03" "4,88E-03" NA NA NA "1,06E-02" NA "1,03E-02" "1,78E-02" "2,54E-02" "7,81E-03" "6,28E-03" "6,62E-03" "2,23E-02" NA NA
"GDP" "1,79E-01" "1,44E-01" "1,39E-01" "1,84E-01" "5,32E-01" "1,36E-01" "2,48E-01" "2,50E-01" "2,37E-01" "2,30E-01" "2,04E-01" "2,00E-01" "1,27E-01" "1,19E-01" "2,00E-01" "1,60E-01" "9,41E-02" "2,14E-01" "1,55E-01" "3,53E-01" "2,74E-01" "2,12E-01" "1,44E-01" "1,95E-01" "1,94E-01" "1,19E-01" "1,08E-01" "1,56E-01" NA "2,24E-01" "3,40E-01"
"FMN" "3,14E-02" "1,38E-02" "1,69E-02" "1,49E-02" "3,10E-02" "2,28E-02" "1,71E-02" "9,40E-03" "7,70E-03" "1,53E-02" "1,47E-02" "3,76E-02" "8,77E-03" "1,08E-02" "2,03E-02" "2,05E-02" "1,34E-02" "2,17E-02" "2,08E-02" "3,01E-02" "1,76E-02" "2,59E-02" "1,07E-02" "1,42E-02" NA "1,24E-02" "9,27E-03" "1,34E-02" "1,56E-02" "2,11E-02" "3,40E-02"
"dCTP" "3,53E-02" "8,13E-03" "6,23E-03" "5,67E-03" "1,74E-02" "7,73E-03" "2,21E-02" "2,50E-02" "2,66E-02" "2,95E-02" "2,32E-02" "3,63E-02" "1,22E-02" "1,73E-02" "3,28E-02" "1,32E-02" "6,95E-03" "3,23E-02" "3,60E-02" "6,02E-02" "4,75E-02" "6,67E-02" "3,56E-02" "4,53E-02" "5,07E-02" "9,89E-03" "1,13E-02" "1,74E-02" "3,09E-02" "3,59E-02" "3,54E-02"
"Divalent ion from Lauroyl CoA" NA NA NA NA NA NA NA "9,03E-04" "5,28E-04" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TTP" "1,20E-01" "5,10E-02" "4,60E-02" "2,07E-02" "4,86E-02" "2,60E-02" "1,33E-01" "1,59E-01" "1,79E-01" "1,16E-01" "1,27E-01" "1,14E-01" "3,69E-02" "5,13E-02" "1,27E-01" "4,57E-02" "2,23E-02" "1,32E-01" "7,46E-02" "2,11E-01" "1,56E-01" "1,90E-01" "1,10E-01" "1,49E-01" "1,45E-01" "3,40E-02" "3,14E-02" "3,51E-02" "6,80E-02" "1,18E-01" "1,44E-01"
"CTP" "3,27E-01" "1,40E-01" "7,02E-02" "4,03E-02" "1,19E-01" "1,04E-01" "3,20E-01" "4,02E-01" "4,66E-01" "2,28E-01" "2,94E-01" "3,09E-01" "9,57E-02" "1,57E-01" "3,21E-01" "1,18E-01" "7,41E-02" "3,16E-01" "3,54E-01" "5,04E-01" "4,00E-01" "6,15E-01" "3,21E-01" "4,08E-01" "4,45E-01" "1,04E-01" "6,82E-02" "1,08E-01" "1,40E-01" "3,20E-01" "3,71E-01"
"UTP" "8,20E-01" "3,00E-01" "1,75E-01" "1,13E-01" "2,86E-01" "2,47E-01" "7,48E-01" "9,83E-01" "1,19E+00" "5,23E-01" "6,83E-01" "6,92E-01" "2,14E-01" "3,57E-01" "8,60E-01" "3,27E-01" "1,29E-01" "8,72E-01" "6,98E-01" "1,28E+00" "1,09E+00" "1,81E+00" "8,52E-01" "1,18E+00" "1,17E+00" "2,28E-01" "1,65E-01" "2,08E-01" "3,05E-01" "8,46E-01" "8,88E-01"
"dATP" "2,11E-02" "2,76E-02" "2,25E-02" "2,97E-03" "1,90E-02" "3,15E-03" "7,26E-02" "8,79E-02" "6,87E-02" "2,79E-02" "7,80E-02" "2,20E-02" "7,97E-03" "1,31E-02" "2,28E-02" "6,01E-03" "4,58E-03" "8,60E-02" "3,96E-02" "1,35E-01" "1,03E-01" "1,23E-01" "6,88E-02" "8,50E-02" "9,35E-02" "9,89E-03" "3,73E-03" "4,99E-03" "6,22E-02" "7,56E-02" "2,48E-02"
"ATP" "1,63E+00" "6,02E-01" "3,92E-01" "2,00E-01" "4,83E-01" "2,24E-01" "1,56E+00" "1,92E+00" "1,68E+00" "1,15E+00" "1,82E+00" "1,55E+00" "4,84E-01" "8,07E-01" "1,63E+00" "3,74E-01" "2,92E-01" "1,73E+00" "7,81E-01" "2,48E+00" "1,76E+00" "2,36E+00" "1,25E+00" "1,40E+00" "1,67E+00" "3,32E-01" "2,78E-01" "3,12E-01" "8,28E-01" "1,26E+00" "1,95E+00"
"ITP" "2,64E-01" "9,71E-02" "6,31E-02" "2,95E-02" "7,89E-02" "3,97E-02" "2,42E-01" "3,02E-01" "2,64E-01" "1,89E-01" "2,88E-01" "2,47E-01" "7,49E-02" "1,25E-01" "2,56E-01" "6,40E-02" "5,22E-02" "2,68E-01" "1,40E-01" "4,73E-01" "3,10E-01" "4,04E-01" "1,85E-01" "2,42E-01" "2,53E-01" "5,34E-02" "4,48E-02" "4,94E-02" "1,35E-01" "2,10E-01" "3,14E-01"
"GTP" "5,56E-01" "2,92E-01" "1,58E-01" "9,62E-02" "3,80E-01" "8,92E-02" "6,80E-01" "8,14E-01" "6,47E-01" "5,99E-01" "7,44E-01" "6,10E-01" "2,40E-01" "3,17E-01" "5,37E-01" "1,65E-01" "1,31E-01" "7,36E-01" "4,83E-01" "1,20E+00" "1,10E+00" "8,22E-01" "4,95E-01" "5,96E-01" "6,76E-01" "1,45E-01" "1,49E-01" "1,47E-01" "8,31E-01" "6,77E-01" "8,92E-01"
"ADP-ribose" "1,28E-02" "1,04E-02" NA "7,34E-03" "3,88E-02" "4,29E-03" "2,50E-02" "2,23E-02" "2,87E-02" "1,83E-02" "2,72E-02" "4,75E-03" "1,82E-03" "3,15E-03" "8,53E-03" "6,90E-03" "2,04E-03" "3,43E-02" "4,12E-02" "5,31E-02" "3,42E-02" "2,41E-02" "1,99E-02" "2,98E-02" "2,33E-02" "9,15E-03" "2,04E-03" "3,18E-03" "3,73E-02" "2,21E-02" "6,24E-03"
"UDP-glucose" "2,44E-01" "7,53E-01" "1,15E-02" "1,99E-02" "1,32E+00" "6,28E-02" "2,13E+00" "2,15E+00" "2,46E+00" "8,74E-01" "1,60E+00" "9,62E-02" "3,27E-02" "5,09E-02" "3,04E-01" "8,20E-02" "3,72E-02" "2,55E+00" "2,62E+00" "2,14E+00" "1,88E+00" "1,66E+00" "1,44E+00" "2,27E+00" "1,92E+00" "3,06E-01" "1,85E-01" "3,09E-01" "2,50E+00" "1,64E+00" "2,12E-01"
"UDP-glucuronate" "5,42E-02" "2,49E-02" "5,33E-03" "1,33E-02" "1,17E-01" "1,52E-02" "1,05E-01" "9,61E-02" "1,39E-01" "5,54E-02" "9,22E-02" "4,11E-02" "9,78E-03" "1,71E-02" "7,63E-02" "2,47E-02" "8,22E-03" "1,75E-01" "8,26E-02" "1,91E-01" "1,42E-01" "1,43E-01" "8,80E-02" "1,56E-01" "1,24E-01" "3,71E-02" "1,15E-02" "1,62E-02" "8,58E-02" "1,15E-01" "6,64E-02"
"ADP-glucose" NA "5,24E-03" NA NA "2,32E-02" NA "1,02E-02" "6,66E-03" "9,30E-03" "1,17E-02" "6,94E-03" NA NA NA "6,30E-03" NA NA "2,03E-02" "1,09E-02" "2,21E-02" "2,10E-02" "1,22E-02" "1,22E-02" "1,53E-02" "1,44E-02" NA NA NA NA "1,26E-02" NA
"UDP-N-acetylglucosamine" "1,46E-01" "1,83E-01" "2,17E-01" "1,34E-02" "5,69E-01" "4,49E-02" "6,14E-01" "6,28E-01" "8,18E-01" "3,26E-01" "4,40E-01" "9,83E-02" "1,68E-02" "4,36E-02" "1,87E-01" "7,20E-02" "2,08E-02" "6,41E-01" "2,59E-01" "7,38E-01" "5,46E-01" "5,76E-01" "4,24E-01" "7,38E-01" "5,71E-01" "1,54E-01" "8,50E-02" "1,32E-01" "5,80E-01" "5,70E-01" "1,42E-01"
"CMP-N-acetylneuramate" "2,13E-02" "8,95E-02" "2,97E-02" NA NA "2,62E-01" "1,75E-01" "1,54E-01" "2,07E-01" NA "1,78E-01" "1,18E-02" "3,85E-03" "1,08E-02" "1,76E-02" NA "2,14E-01" "8,72E-02" NA NA NA "1,14E-01" "1,59E-02" "4,99E-02" "2,18E-02" "1,30E-01" "2,15E-02" "2,56E-01" NA "7,62E-02" "1,07E-02"
"NAD" "6,20E-01" "5,18E-01" "5,12E-01" "6,84E-01" "1,21E+00" "3,66E-01" "9,41E-01" "8,24E-01" "9,28E-01" "1,10E+00" "7,91E-01" "6,12E-01" "3,59E-01" "4,84E-01" "6,06E-01" "1,01E+00" "3,03E-01" "9,85E-01" "6,73E-01" "7,88E-01" "8,70E-01" "7,40E-01" "5,57E-01" "5,98E-01" "6,24E-01" "3,16E-01" "2,96E-01" "4,08E-01" "1,37E+00" "5,85E-01" "7,63E-01"
"Nicotinamide hypoxanthine dinucleotide" "1,37E-01" "1,26E-01" "1,15E-01" "9,46E-02" "1,72E-01" "1,08E-01" "2,33E-01" "1,93E-01" "2,24E-01" "1,54E-01" "1,69E-01" "1,58E-01" "9,05E-02" "1,22E-01" "1,63E-01" "1,41E-01" "8,87E-02" "2,06E-01" "1,41E-01" "1,57E-01" "1,71E-01" "1,58E-01" "1,45E-01" "1,46E-01" "1,46E-01" "9,07E-02" "8,66E-02" "1,17E-01" "1,87E-01" "1,41E-01" "1,72E-01"
"NADH" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1,02E-01" "2,45E-02" "2,24E-01" "1,21E-01" "1,66E-01" "1,50E-01" NA NA NA NA NA NA
"NADP" "9,33E-02" "5,63E-02" "6,71E-02" "2,64E-02" "6,54E-02" "3,70E-02" "1,62E-01" "1,65E-01" "1,76E-01" "6,94E-02" "1,41E-01" "1,09E-01" "2,58E-02" "3,88E-02" "1,04E-01" "6,55E-02" "5,22E-02" "1,81E-01" "1,05E-01" "1,85E-01" "1,55E-01" "1,17E-01" "6,76E-02" "1,32E-01" "1,05E-01" "3,89E-02" "4,60E-02" "6,88E-02" "1,34E-01" "9,57E-02" "1,35E-01"
"NADPH" NA NA NA NA NA NA "1,37E-01" "1,37E-01" "1,31E-01" NA NA NA NA NA NA NA NA NA NA "1,23E-01" "5,76E-02" NA NA NA NA NA NA NA NA NA NA
"FAD" NA "2,18E-02" "2,41E-02" NA "5,45E-02" "7,95E-03" "5,49E-02" "4,50E-02" "4,44E-02" "2,65E-02" "4,15E-02" NA "6,83E-03" NA NA "6,46E-03" "3,47E-03" "5,28E-02" "3,55E-02" "4,70E-02" "3,06E-02" "4,32E-02" "1,49E-02" "3,78E-02" "1,05E-02" "1,51E-02" "8,01E-03" "1,09E-02" "3,69E-02" "3,58E-02" "2,73E-02"
"n-Propionyl CoA" NA NA NA NA NA NA NA "3,36E-02" NA NA NA NA NA NA NA NA "7,67E-03" NA NA NA NA NA NA NA NA NA "1,89E-02" "2,00E-02" "8,90E-02" NA NA
